Intersection at: (5239.441162801553,9057.369180441998) -> s3469 s8307
Intersection at: (313.8394811258543,9023.591831515825) -> s6920 s4728
Intersection at: (-8062.8074895563295,9011.262668281173) -> s405 s9840
Intersection at: (-4128.169320517986,9008.759060278557) -> s3614 s305
Intersection at: (-8601.794490246933,8947.523784775783) -> s3125 s1589
Intersection at: (4592.782164328254,8942.789477538197) -> s9926 s2006
Intersection at: (3925.6529306832767,8937.917466354249) -> s167 s1453
Intersection at: (-7262.8090259094915,8898.194782785848) -> s8097 s1854
Intersection at: (1131.5718225545718,8863.46216520931) -> s7005 s1525
Intersection at: (4166.286633275979,8793.17612795472) -> s4199 s4124
Intersection at: (8637.884942630199,8761.891567110346) -> s6577 s2202
Intersection at: (-5832.284730353758,8750.879337993993) -> s8774 s753
Intersection at: (-1312.1054042069502,8660.922883125211) -> s312 s6469
Intersection at: (-7576.734338000247,8542.973344399412) -> s8606 s2882
Intersection at: (8913.208776482536,8531.641976400664) -> s4771 s9124
Intersection at: (-695.2957856915234,8495.332809481853) -> s948 s2510
Intersection at: (2938.913322194226,8375.385767524287) -> s8996 s5353
Intersection at: (-797.6673087037098,8320.672470932388) -> s948 s1241
Intersection at: (-208.7517436708077,8317.527642621386) -> s6838 s7426
Intersection at: (889.0031937603555,8268.80837798368) -> s3997 s135
Intersection at: (1510.556153255296,8075.939782757928) -> s1022 s136
Intersection at: (-4561.754042133833,8055.493126231082) -> s6280 s5197
Intersection at: (5170.41442396837,8041.555172553326) -> s8307 s7935
Intersection at: (-1660.1478907672467,7911.339815588091) -> s5096 s5074
Intersection at: (-3306.4829349447145,7883.031962822432) -> s6185 s5589
Intersection at: (2765.3206566301474,7828.997385071848) -> s1214 s3432
Intersection at: (-7446.72287932053,7827.333095022619) -> s1625 s5555
Intersection at: (-7390.805706034795,7805.096237122413) -> s1625 s1565
Intersection at: (2466.5058238147476,7659.220752818729) -> s7208 s6010
Intersection at: (9975.590955134598,7496.423210222613) -> s8521 s7267
Intersection at: (4833.427266211405,7380.466228993541) -> s82 s2135
Intersection at: (256.4586837616891,7366.7911192142565) -> s8816 s1453
Intersection at: (-6680.267384684238,7111.323732523861) -> s1589 s6064
Intersection at: (411.941768342329,7048.558560300901) -> s3202 s7005
Intersection at: (3600.3910521188573,6942.49627084246) -> s4199 s6912
Intersection at: (-9952.240400883633,6471.142551689674) -> s2543 s6829
Intersection at: (-6291.36741456514,6414.234131947194) -> s4582 s7487
Intersection at: (-9866.678526512884,6204.845500427376) -> s2543 s4414
Intersection at: (3219.549548679837,6100.012516244889) -> s167 s3304
Intersection at: (-8556.23903984394,5822.156969685494) -> s8968 s7355
Intersection at: (-6100.181161563542,5753.32243784634) -> s5726 s6615
Intersection at: (5443.412009679632,5640.908765779351) -> s8996 s9926
Intersection at: (-6408.126146018483,5632.197811802854) -> s8968 s7094
Intersection at: (5479.476967528984,5500.9158072158325) -> s9926 s6912
Intersection at: (-1848.9007020087085,5341.231766870826) -> s2977 s4865
Intersection at: (-719.8908651734058,5062.584819757995) -> s119 s6528
Intersection at: (-2839.56018736607,4783.358698949246) -> s2947 s6756
Intersection at: (565.9128430318891,4247.308445018837) -> s8816 s9382
Intersection at: (1106.6649941658166,4210.5929270617) -> s3456 s7271
Intersection at: (-7504.2839101641675,3042.7343956455284) -> s823 s8510
Intersection at: (-266.2554580307052,2928.9956168019385) -> s7426 s135
Intersection at: (713.6747151694674,2757.780557828981) -> s8816 s3029
Intersection at: (4778.839212187552,2279.040645679727) -> s2198 s8307
Intersection at: (9800.438625924973,1847.7063008514203) -> s7253 s9282
Intersection at: (703.0406494896215,1449.6152907784078) -> s3147 s5353
Intersection at: (-99.48764229520033,1341.2141346970086) -> s3029 s7007
Intersection at: (3055.8403705384344,-253.17824694440918) -> s1481 s1765
Intersection at: (1190.929191247029,-2053.2294890782596) -> s8816 s167
Intersection at: (-332.45790172727806,-3274.672998651442) -> s6920 s7426
Intersection at: (2210,-6293) -> s5778 s4530
Intersection at: (7539,-6419) -> s808 s9131
